time,close,index,duration,epsilon,capital,episode,step,position,entry_price,exit_price,trade_len,pnl_ratio
2020-10-21 03:00:00,11988.26,1237.0,61.21,0.0009,11272.18,151.0,7.0,-1.0,11912.35,11988.26,6.0,-0.64
2020-10-21 08:00:00,12232.76,1242.0,34.8,0.0009,11225.5,152.0,4.0,-1.0,12182.31,12232.76,3.0,-0.41
2020-10-21 16:00:00,12730.01,1250.0,61.94,0.0009,10996.79,153.0,7.0,-1.0,12475.83,12730.01,1.0,-2.04
2020-10-21 21:00:00,12680.75,1255.0,35.02,0.0009,10873.66,154.0,4.0,1.0,12824.35,12680.75,3.0,-1.12
2020-10-22 04:00:00,12793.59,1262.0,52.81,0.0009,10972.18,155.0,6.0,-1.0,12910.57,12793.59,5.0,0.91
2020-10-22 12:00:00,12959.79,1270.0,61.92,0.0009,10793.83,156.0,7.0,-1.0,12752.5,12959.79,6.0,-1.63
2020-10-22 20:00:00,13042.48,1278.0,60.4,0.0009,10955.51,157.0,7.0,1.0,12850.0,13042.48,6.0,1.5
2020-10-23 04:00:00,12985.0,1286.0,62.02,0.0009,11055.09,158.0,7.0,-1.0,13104.11,12985.0,6.0,0.91
2020-10-23 12:00:00,13015.02,1294.0,62.58,0.0009,11032.1,159.0,7.0,-1.0,12988.01,13015.02,5.0,-0.21
2020-10-23 20:00:00,12852.97,1302.0,62.96,0.0009,10947.12,160.0,7.0,1.0,12952.75,12852.97,5.0,-0.77
2020-10-23 23:00:00,12904.83,1305.0,17.71,0.0009,10927.83,161.0,2.0,1.0,12927.6,12904.83,1.0,-0.18
2020-10-24 07:00:00,12964.71,1313.0,62.12,0.0009,10892.62,162.0,7.0,-1.0,12923.07,12964.71,6.0,-0.32
2020-10-24 15:00:00,12989.3,1321.0,62.11,0.0009,10903.23,163.0,7.0,1.0,12976.66,12989.3,1.0,0.1
2020-10-24 22:00:00,13091.8,1328.0,53.36,0.0009,10893.36,164.0,6.0,1.0,13103.66,13091.8,2.0,-0.09
2020-10-25 05:00:00,13311.81,1336.0,61.94,0.0009,10690.58,165.0,7.0,-1.0,13068.53,13311.81,6.0,-1.86
2020-10-25 12:00:00,12951.73,1343.0,53.08,0.0009,10639.95,166.0,6.0,1.0,13013.36,12951.73,5.0,-0.47
2020-10-25 19:00:00,12985.58,1350.0,53.32,0.0009,10638.02,167.0,6.0,-1.0,12983.23,12985.58,5.0,-0.02
2020-10-26 03:00:00,13087.7,1358.0,62.31,0.0009,10686.09,168.0,7.0,1.0,13028.83,13087.7,3.0,0.45
2020-10-26 11:00:00,13108.67,1366.0,62.27,0.0009,10685.55,169.0,7.0,1.0,13109.33,13108.67,6.0,-0.01
2020-10-26 19:00:00,12963.25,1374.0,60.58,0.0009,10880.43,170.0,7.0,-1.0,13204.06,12963.25,5.0,1.82
2020-10-27 03:00:00,13071.89,1382.0,60.46,0.0009,10816.96,171.0,7.0,-1.0,12996.08,13071.89,6.0,-0.58
2020-10-27 07:00:00,13106.09,1386.0,26.36,0.0009,10832.22,172.0,3.0,-1.0,13124.6,13106.09,2.0,0.14
2020-10-27 15:00:00,13390.83,1394.0,62.5,0.0009,10784.72,173.0,7.0,1.0,13449.8,13390.83,3.0,-0.44
2020-10-27 23:00:00,13730.0,1402.0,63.03,0.0009,10715.75,174.0,7.0,-1.0,13642.75,13730.0,6.0,-0.64
2020-10-28 07:00:00,13709.37,1410.0,61.52,0.0009,10718.02,175.0,7.0,-1.0,13712.27,13709.37,6.0,0.02
2020-10-28 16:00:00,13221.26,1419.0,71.17,0.0009,10842.67,176.0,8.0,1.0,13069.26,13221.26,1.0,1.16
2020-10-28 20:00:00,13165.31,1423.0,26.67,0.0009,10828.22,177.0,3.0,1.0,13182.88,13165.31,2.0,-0.13
2020-10-29 04:00:00,13280.99,1431.0,62.6,0.0009,10757.65,178.0,7.0,-1.0,13195.0,13280.99,6.0,-0.65
2020-10-29 12:00:00,13052.06,1439.0,63.56,0.0009,10720.32,179.0,7.0,1.0,13097.51,13052.06,1.0,-0.35
2020-10-29 19:00:00,13557.67,1446.0,53.53,0.0009,10624.01,180.0,6.0,-1.0,13436.95,13557.67,3.0,-0.9
2020-10-30 03:00:00,13458.45,1454.0,61.88,0.0009,10640.88,181.0,7.0,-1.0,13479.86,13458.45,6.0,0.16
2020-10-30 11:00:00,13301.62,1462.0,63.07,0.0009,10721.19,182.0,7.0,1.0,13201.99,13301.62,4.0,0.75
2020-10-30 14:00:00,13263.3,1465.0,18.06,0.0009,10773.88,183.0,2.0,-1.0,13328.81,13263.3,1.0,0.49
2020-10-30 17:00:00,13522.27,1468.0,17.9,0.0009,10751.85,184.0,2.0,1.0,13549.98,13522.27,1.0,-0.2
2020-10-30 20:00:00,13536.44,1471.0,17.91,0.0009,10742.36,185.0,2.0,-1.0,13524.51,13536.44,1.0,-0.09
2020-10-31 04:00:00,13491.54,1479.0,62.01,0.0009,10786.7,186.0,7.0,-1.0,13547.45,13491.54,6.0,0.41
2020-10-31 13:00:00,13878.5,1488.0,72.96,0.0009,10739.11,187.0,8.0,1.0,13940.0,13878.5,1.0,-0.44
2020-10-31 16:00:00,13852.02,1491.0,17.89,0.0009,10770.64,188.0,2.0,1.0,13811.47,13852.02,1.0,0.29
2020-10-31 21:00:00,13837.98,1496.0,35.81,0.0009,10723.98,189.0,4.0,-1.0,13778.29,13837.98,3.0,-0.43
2020-11-01 00:00:00,13791.0,1499.0,18.09,0.0009,10782.74,190.0,2.0,-1.0,13866.99,13791.0,1.0,0.55
2020-11-01 08:00:00,13792.51,1507.0,61.84,0.0009,10844.03,191.0,7.0,1.0,13714.56,13792.51,1.0,0.57
2020-11-01 22:00:00,13811.94,1521.0,115.44,0.0009,10848.36,192.0,13.0,-1.0,13817.46,13811.94,1.0,0.04
2020-11-02 06:00:00,13686.75,1529.0,62.66,0.0009,10856.91,193.0,7.0,-1.0,13697.54,13686.75,2.0,0.08
2020-11-02 14:00:00,13392.19,1537.0,62.96,0.0009,10934.17,194.0,7.0,1.0,13297.56,13392.19,1.0,0.71
2020-11-02 18:00:00,13512.51,1541.0,26.76,0.0009,10945.11,195.0,3.0,1.0,13499.0,13512.51,2.0,0.1
2020-11-03 02:00:00,13596.56,1549.0,62.44,0.0009,10910.46,196.0,7.0,-1.0,13553.65,13596.56,6.0,-0.32
2020-11-03 10:00:00,13561.88,1557.0,62.96,0.0009,11048.9,197.0,7.0,1.0,13391.96,13561.88,6.0,1.27
2020-11-03 18:00:00,13731.49,1565.0,62.98,0.0009,10871.64,198.0,7.0,-1.0,13514.68,13731.49,5.0,-1.6
2020-11-04 02:00:00,13812.21,1573.0,62.35,0.0009,10799.59,199.0,7.0,-1.0,13721.27,13812.21,6.0,-0.66
2020-11-04 08:00:00,13600.46,1579.0,45.18,0.0009,10568.76,200.0,5.0,1.0,13897.51,13600.46,4.0,-2.14
2020-11-04 16:00:00,13911.47,1587.0,63.9,0.0009,10369.28,201.0,7.0,-1.0,13653.77,13911.47,6.0,-1.89
2020-11-04 23:00:00,14140.94,1594.0,53.5,0.0009,10447.55,202.0,6.0,1.0,14035.0,14140.94,2.0,0.75
2020-11-05 07:00:00,14335.18,1602.0,62.5,0.0009,10277.13,203.0,7.0,-1.0,14105.09,14335.18,6.0,-1.63
2020-11-05 15:00:00,14894.46,1610.0,62.73,0.0009,10597.57,204.0,7.0,1.0,14444.09,14894.46,6.0,3.12
